姓名|角色名称|中文名|英文名|别名|粉丝名
乔任梁|[('我们的十年', '郭宇辰'), ('致青春·原来你还在这里', '沈居安'), ('万万没想到', '奔波儿灞'), ('魔卡行动', '阿治'), ('死亡邮件', '赵勇，萧亮'), ('疯狂72小时', '鸵鸟'), ('请叫我英雄', '彭达'), ('十二星座离奇事件', '陈晓峰'), ('查无此人', '李春'), ('我11', '杜红军'), ('狄小杰事件簿', '狄小杰'), ('巨额交易', '刘易郡'), ('东成西就2011', '驹哥'), ('与时尚同居', '武阳'), ('爱有多久', '阳阳'), ('情书', '小风'), ('别闹，改日', '赵小晨'), ('戒烟不戒酒', '林红星'), ('战墙', '阿辉'), ('夜店', '李俊伟'), ('雪女王', '沈雷志'), ('放弃我抓紧我', '霍骁'), ('定制幸福', '展望'), ('代号', '冯九思'), ('半步天涯', '任一凡'), ('锦绣缘华丽冒险', '向英东'), ('爱情回来了', '承磊'), ('小时代', '周崇光'), ('胜女的时代', '白家伟'), ('新神探联盟', '白玉堂'), ('陆贞传奇', '高演'), ('我的经济适用男', '杨帆'), ('倾世皇妃', '赵匡胤'), ('春光灿烂猪九妹', '孙悟空'), ('新一剪梅', '邢正扬'), ('加油！网球王子', '齐远')]|乔任梁|kimi|无|无
乔杉|[('缝纫机乐队', '胡亮'), ('2017', '卷帘'), ('2016-10-28', '刘背'), ('2015-07-17', '花花'), ('约定倒计时', '元帅'), ('一路惊喜', '吴亮'), ('全民电影导师版', '东子'), ('爱情的士', '潘小龙'), ('你是我的传说', '王鹏'), ('废柴兄弟3', '文朗'), ('屌丝男士4', '足疗顾客'), ('大村官之放飞梦想', '葛二雷（葛天赐）'), ('猎人公会之非你莫属', '叶萧'), ('傻儿传奇', '马通'), ('整垮前男友', '甄建'), ('大村官', '葛二雷'), ('屌丝男士3', '足疗顾客'), ('开心边角料', '边豆'), ('屌丝男士2', '足疗顾客'), ('屌丝男士1', '足疗顾客')]|乔杉|无|杉子|无
乔振宇|[('坏蛋必须死', '三儿'), ('求爱嫁期', '黄子宏'), ('温故1942', '书记小韩'), ('亡命演说', '苏少阳'), ('恋爱通告', '慕凡'), ('山生', '赵亚辉'), ('鼓王', '谭高虎'), ('孔子', '孔鲤'), ('烟花恋人', '永健'), ('不完全恋人', '李想'), ('爱上麻烦', '成明治'), ('龙腾虎跃', '乔振宇'), ('思美人之山鬼后裔', '楚怀王熊槐'), ('思美人', '楚怀王'), ('心理师', '夏木'), ('古董局中局', '药不然'), ('天意之秦天宝鉴', '秦始皇'), ('蔓蔓青萝', '刘绯（子离）'), ('裸漂', '汪禹'), ('爱情也包邮', '战锋'), ('大嫁风尚', '金志豪'), ('昙花梦', '程慈航'), ('大世界', '秦孝天'), ('浴血重生', '谭振刚'), ('华胥引之绝爱之城', '苏珩'), ('聊斋新编', '陶岳明'), ('天使的城', '杨超群'), ('青年医生', '顾小萌'), ('古剑奇谭', '欧阳少恭'), ('刘海砍樵', '刘海'), ('烽火佳人', '周霆琛'), ('老有所依', '余淼'), ('画皮之真爱无悔', '郑吉'), ('隋唐英雄', '李建成'), ('血色樱花', '高文轩'), ('被遗弃的秘密', '欧冠群'), ('满秋', '郭乃文'), ('不能没有家', '霍雷'), ('烽火影人', '刘子坪'), ('书剑恩仇录', '陈家洛'), ('锁清秋', '苏心海'), ('少年讼师纪晓岚', '杨乃文'), ('中国式相亲', '苏格'), ('大盛魁', '张杰'), ('鹿鼎记', '郑克塽'), ('丑女也疯狂', '冯子健'), ('浣花洗剑录', '方宝玉'), ('错爱天使', '陈翔宇'), ('心灵的泪花', '王炜俊'), ('青城之恋', '赵雨桐'), ('车神', '刘云松'), ('七剑下天山', '穆郎'), ('新醉打金枝', '秦风'), ('向左走向右走', '石尚毅'), ('爱我你怕了吗', '刘东子'), ('巴士警探', '雷天'), ('站在你背后', '李成康'), ('无忧公主', '常孟'), ('雪花女神龙', '欧阳明日'), ('男生女生', '家卫'), ('残剑震江湖', '许三元'), ('金粉世家', '浩然'), ('新五女拜寿', '云天浩'), ('新女驸马', '东方胜'), ('壮志雄心', '邵奇'), ('海洋馆的约会', '孙铭')]|乔振宇|qiao zhenyu|政委、小乔、乔老板、乔乔|无
乔纳森·凯兹|[]|无|无|无|无
曹操|[]|曹操|无|无|无
无|[]|无|无|无|无
吕孔维|[('美丽的契约', '关山'), ('彼岸1945', '警官'), ('家和万事兴', '客串'), ('熊猫人', '钱鼠'), ('开封有个包青天', '武雄'), ('老王同学会', '经理'), ('金大班', '童经理'), ('我在垦丁天气晴', '自杀男'), ('翻滚吧!蛋炒饭', '客串'), ('无敌珊宝妹', '阿尔'), ('国光异校', '邵一军'), ('终极一班', '曾少宗的养父'), ('鸟来伯与十三姨', '文辉的朋友'), ('女人要有钱', '董哥'), ('花香番外篇', 'simon'), ('少年梁祝', '娄敬文'), ('台湾廖添丁', '金土小太郎'), ('麻辣学院', '教导主任'), ('落跑吧爱情', '蚊子'), ('抢救老爸', '黑松'), ('乌龙戏凤2012', 'rocker'), ('分手达人', '王精英'), ('双城计中计', '大帅'), ('三笑之才子佳人', '毒砂掌'), ('疯狂的赛车', '李法拉'), ('霹雳探哥', '杨伟宗'), ('停车', '司机'), ('四大金钗', '麻辣公公'), ('魔鬼女教头', '卢家铭')]|吕孔维|无|九孔|无
买红妹|[('亲爹后爸', '牛二翠'), ('重耳传', '骊戎国主夫人'), ('离婚律师', '夏芳草'), ('杨光的爱情故事', '边萍'), ('抬头见喜', '陈淑恬'), ('婆媳拼图', '安小梅'), ('杨光的新生活', '边萍'), ('不如跳舞', '杜小兰'), ('利剑', '刘芳'), ('老威的x计划', '邓小姐'), ('炊事班的故事1', '魏淑芬'), ('至高权利', '叶小叶'), ('都市魔方', '口红'), ('《北京遇上西雅图》', '陈悦'), ('《咱们是亲人》', '刘立华'), ('《追逐死亡的人》', '女主角')]|买红妹|无|买买提|无
无|[]|无|无|无|无
于和伟|[('封神', '姜子牙'), ('追击者', '曹若飞'), ('警花与警犬', '杜飞'), ('军师联盟', '曹操'), ('下一站，别离', '秋阳'), ('刑警队长', '顾铭'), ('下一站婚姻', '龚剑'), ('搜索连', '吴休葆'), ('爱的多米诺', '戴骨顺'), ('零下三十八度', '年定邦'), ('青盲', '张海峰'), ('大家庭', '袁刚'), ('楚汉传奇', '秦始皇'), ('婚前协议', '高寒'), ('天下人家', '唐中秋'), ('我是特种兵之利刃出鞘', '康雷'), ('男人的战争', '唐季山'), ('奸细', '江一平'), ('连环套', '孟庆凡'), ('兵临城下', '杨少诚'), ('三国', '刘备'), ('老马家的幸福往事', '莫文辉'), ('中国1921', '陈独秀'), ('幸福在路上', '马刚'), ('冰是睡着的水', '周新宇'), ('特战先锋', '毛人凤'), ('家仇', '张天心'), ('锁春记', '庄世博'), ('漂亮的事', '江百川'), ('光荣岁月', '玉岷'), ('纸醉金迷', '范宝华'), ('男人底线', '赵通达'), ('寻夫记', '常青'), ('战地浪漫曲', '唐副司令'), ('华容道', '郭林'), ('追根究底', '常思远'), ('真情年代', '李和平'), ('孝子', '沈致公'), ('岁月', '吴过'), ('局中局', '赵天宇'), ('霓虹灯下的哨兵', '郝铁蛋'), ('敌后武工队', '贾正'), ('与爱同生', '周国通'), ('搭错车', '苏民生'), ('谁可相依', '钱书明'), ('大宅门第二部', '白占安'), ('追日', '木村一郎'), ('历史的天空', '万古碑'), ('王记大排档', '西瓜'), ('原则', '史天成'), ('省委书记', '罗县长'), ('水晶缘', '苏海东'), ('卧龙小诸葛', '鲁肃'), ('深圳女人', '乔蒙'), ('曹操', '荀彧'), ('女人为什么哭泣', '大学生'), ('建军大业', '陈独秀'), ('我不是潘金莲', '郑重'), ('魔都凶音', '史总'), ('极限挑战之皇家宝藏', '永历帝'), ('老炮儿', '龚叔'), ('铁血柔情', '阿龙')]|于和伟|无|无|无
于嘉萌|[]|于嘉萌|无|无|无
于子健|[]|于子健|无|无|无
于小伟|[('大唐荣耀', '默延啜'), ('最美是你', '李思进'), ('奔跑吧实习生', '汪思远'), ('灵与肉', '许灵均'), ('烽火英雄传', '甘愿'), ('如果不曾爱过你', '楚汉良'), ('生活永远沸腾', '姜二涛'), ('食来孕转', '杜一鸣'), ('大米市', '高旺生'), ('闯关东前传', '管粮'), ('门第', '罗胜利'), ('一生只爱你', '刘胜利'), ('偏偏爱上你', '林重光'), ('水上游击队', '魏光明'), ('无影灯下', '钟立伟'), ('大女当嫁', '程闯'), ('秋霜', '费戈'), ('姐妹新娘', '李诸望'), ('老三届', '叶青'), ('幸福的完美', '梁亮'), ('破茧而出', '左兆丰'), ('天堂之约', '江明浩'), ('胭脂雪', '辜少棠'), ('逃亡香格里拉', '何家川'), ('超级男女', '强森'), ('东方朔', '卫青'), ('现代美女', '肖杰'), ('巴黎童话', '郁凯'), ('女人行', '唐赛克'), ('遍地英雄', '杨宗'), ('亲爱的看招', '范宗伟'), ('好想好想谈恋爱', '郑凯'), ('杨门虎将', '杨三郎'), ('撑起生命的蓝天', '袁峰'), ('就像美丽蝴蝶飞', '黄启坚'), ('男才女貌', '刘浩东'), ('葛定国同志的夕阳红', '于大胜'), ('在一起', '龚雷'), ('杨洋三嫁', '方仲秋'), ('永远有多远', '赵大安'), ('魔都凶音', '王医生'), ('勇士', '廖大强'), ('查无此人', '辜杰'), ('激浪青春', '游杰'), ('立春', '客串'), ('无极', '也力'), ('孔雀', '伞兵')]|于小伟|calvin|无|无
于彭|[]|于彭|无|无|无
于承惠|[('铁血轻奇兵', '柳叶'), ('热血码头', '曾八爷'), ('干得漂亮', '乔振山'), ('天地姻缘七仙女', '天尊'), ('穆桂英挂帅', '呼延赞'), ('碧波仙子', '师父'), ('西游记', '太乙天尊'), ('李白', '赵蕤'), ('倚天屠龙记', '张三丰'), ('李小龙传奇', '叶问'), ('鹿鼎记', '冯锡范'), ('碧血剑', '穆人清'), ('少林寺传奇', '老妖子'), ('虎踞龙盘', '樵夫'), ('马鸣风萧萧', '郭白云'), ('七剑下天山', '傅青主'), ('神雕侠侣', '黄药师'), ('少林武王', '童大宝'), ('侠影仙踪', '赤松道长'), ('连城诀', '梅念笙'), ('笑傲江湖', '风清扬'), ('武松', '张团练'), ('孙子', '田穰苴'), ('箭士柳白猿', '匡一民'), ('四大名捕3', '安云山'), ('白发魔女传之明月天国', '紫阳道长'), ('四大名捕2', '安云山'), ('倭寇的踪迹', '裘冬月'), ('墨攻', '东伯'), ('跆拳道', '爷爷'), ('东归英雄传', '鹰'), ('黄河大侠', '马义'), ('南北少林', '赫索'), ('少林小子', '鲍父'), ('少林寺', '王仁则')]|于承惠|cheng-hui yu|无|无
于月仙|[('大嫁风尚', '顾小曼'), ('乡村爱情浪漫曲', '谢大脚'), ('男人四十要出嫁', '大嫂'), ('乡村爱情圆舞曲', '谢大脚'), ('e网情', '董莉清'), ('乡村爱情变奏曲', '谢大脚'), ('火红的日子', '王鲜花'), ('辣椒与泡菜', '黄香花'), ('不是钱的事', '于戴宁'), ('外姓兄弟', '杜美霞'), ('乡村爱情小夜曲', '谢大脚'), ('青山绿水红日子', '女警察'), ('我是大侦探', '甄翡翠'), ('星际精灵蓝多多', '小豆表婶'), ('乡村爱情交响曲', '谢大脚'), ('乡村爱情故事', '谢大脚'), ('老爷升堂', '张曼钰'), ('人活一张脸', '唐巧'), ('大境门', '十三响'), ('关东大先生', '叶丽莎'), ('乡村爱情2', '谢大脚'), ('月儿弯弯', '杨丽玲'), ('乡村爱情', '谢大脚'), ('马大帅3', '刘佩云'), ('谁为我心动', '姜宁'), ('黄河浪', '冬月'), ('走进石锁沟', '路璐'), ('兄弟如手足', '苏采花'), ('马大帅2', '哑女'), ('大醉侠', '花残一'), ('策马啸西风', '凤四娘'), ('信仰', '小喜宝'), ('遗产', '丽雅'), ('西游记后传', '陈五真'), ('能不离,最好还是别离', '曲淑萍'), ('人间灶王', '莫夫人'), ('刘罗锅断案传奇', '刘夫人'), ('水浒传', '金翠莲'), ('乱世有情天', '荷叶'), ('书剑恩仇录', '玉如意'), ('生命的祭坛', '王烨'), ('幸福秘方', '张玉'), ('日照好人', '正涛媳妇')]|于月仙|无|无|无
于朦胧|[('轩辕剑之汉之云', '徐暮云'), ('三生三世十里桃花', '白真'), ('谁的青春不叛逆', '鹿相'), ('凉生，我们可不可以不忧伤', '程天恩'), ('霍去病', '李敢'), ('太子妃升职记', '九王'), ('把爱带回家', '夏星尘'), ('夜闯寡妇村', '谭刚'), ('催命符之劫后重生', '大少爷'), ('同城邂逅', '天豪'), ('听说爱情回来过', '胧胧'), ('一刻十年', '马萌'), ('为爱放手', '穆奇'), ('成人记2', 'calvin'), ('临时同居', '客串'), ('我就是我', '于朦胧'), ('丛林游戏', '肖夏'), ('变幻的年代(微电影)', '男主角'), ('纵身一跃(微电影)', '男主角小王子')]|于朦胧|alan yu|萌萌、朦朦、朦胧|无
于毅|[('黑土热血', '李一峰'), ('娘道', '隆延宗/隆继宗'), ('走火', '赵鹏程'), ('灵魂摆渡3', '赵吏'), ('转身遇到你', '华明'), ('灵魂摆渡2', '赵吏'), ('绝地枪王', '那五常'), ('勇敢的心', '赵舒城'), ('灵魂摆渡', '赵吏'), ('泪洒女人花', '高立伯'), ('幸福在哪里', '韩江川'), ('打狗棍', '二丫头'), ('王的女人', '秦二世胡亥'), ('爱情面前谁怕谁', '黎海波'), ('笑红颜', '苏明利'), ('生死钟声', '瞿言白'), ('开天辟地', '汪精卫'), ('心术', '谷超华'), ('中国1945之重庆风云', '王龙'), ('金枝玉叶', '杜川'), ('唐琅探案', '荣天'), ('生死诺言', '陆天扬'), ('永不言退', '赵博风'), ('我是一棵小草', '岳峰'), ('伤城之恋', '江白'), ('谁懂我的心', '罗一阳'), ('爱情新呼吸', '理查'), ('女才男貌', '曾伟志'), ('101次求婚', '郑金元'), ('男才女貌', '赵磊'), ('壮志雄心', '刘辉'), ('折扇探花', '沈西铭'), ('诡爱', '薛威')]|于毅|无|二哥、毅哥、于叔|无
于波|[('轩辕大帝', '黄帝'), ('新步步惊心', '爱新觉罗·胤礽'), ('我们遇见松花湖', '安文成'), ('六福喜事', '秀波'), ('诡婴吉咪', '老板'), ('忠烈杨家将', '杨二郎(杨延定)'), ('百星酒店', '雷劲'), ('先驱者', '刘涛'), ('飞天', '谢朝阳'), ('我的左手和右手', '张建超'), ('芸汐传', '西周国王'), ('战地迷情', '何文清'), ('2017-10-25', '范仲淹'), ('寻人大师', '望久'), ('2017-1-2', '司马弘'), ('赤水河', '王用介'), ('人生若如初相见', '李重年'), ('新龙门客栈', '汪潮'), ('寻秦记', '赵穆'), ('美人如玉剑如虹', '温正'), ('秀丽江山之长歌行', '刘玄'), ('解密', '陆润'), ('解忧公主', '汉武帝'), ('秦时明月', '刘邦'), ('午夜蝴蝶', '刘恒升'), ('辣妈俏爸', '艾丁宝'), ('海魂', '高盛中'), ('孔雀翎', '秋天鸣'), ('大内低手', '嘉庆'), ('一路顺风', '黄猛'), ('包三姑外传', '朱棣'), ('迅雷急先锋', '韩诚'), ('让爱化作珍珠雨', '元皓勇'), ('当幸福来敲门', '谭刚'), ('神鬼八阵图', '荀日照(诸葛日照)'), ('2006-02-11', '方旭'), ('幻影神针', '金城'), ('李卫辞官', '乾隆'), ('灵镜传奇', '童博'), ('水月洞天', '童博'), ('水晶之恋', '于波'), ('少年王', '白奇伟'), ('女人汤', '林菊生'), ('萧十一郎', '连城璧')]|于波|apollo|波波，数码杀手，波记|无
于洋|[('来的都是客', '裴大发'), ('缝纫机乐队', '张发财'), ('东北往事之破马张飞', '小地主')]|于洋|yu yang|大长脸、脸仔、大挂车|无
于海|[('地雷战', '师傅'), ('叶问', '董展鹏'), ('虎踞龙盘', '拐五爷'), ('少林武王', '善通'), ('莲花太子', '戚大成'), ('新少林寺', '昙宗'), ('太极宗师', '陈正英'), ('太极侠', '杨师傅'), ('新少林寺', '方丈'), ('东瀛游侠', '林同善'), ('龙闯中原', '雷同'), ('功夫小子闯情关', '杨崇武'), ('太极张三丰', '大师伯'), ('白莲邪神', 'governor'), ('通天长老', '通天长老'), ('长城大决战', '杨馆长'), ('黄河大侠', '住持'), ('南北少林', '师傅'), ('少林小子', '天龙'), ('少林寺', '师父')]|于海|hai yu|于天堂|无
于笑|[('东山晴后雪', '单爷'), ('我的1997', '丁跃民'), ('莫斯科行动', '洪小帅'), ('爷们儿李大宝的平凡岁月', '二膀子'), ('余罪', '焦涛'), ('嘿，孩子！', '黑皮'), ('好男儿之情感护理', '黄建华'), ('刑警队长', '刘清宇'), ('历史转折中的邓小平', '陆大州'), ('四十九日·祭', '川军中尉'), ('清网', '杜骁'), ('中国刑警803', '贾方'), ('寻路', '聂荣臻'), ('汉口码头', '九戒'), ('将军日记', '秦东顺'), ('有完没完', '社区医生'), ('有种你爱我', '二条'), ('银杏之梦', '李小果'), ('金身将军王政柱', '徐良'), ('夜访荒村公寓', '张强'), ('朱程浴血冀鲁豫', '田七'), ('青春网事', '于刚'), ('建党伟业', '聂荣臻'), ('延安电影团', '钱筱璋'), ('翅膀下的风', '刘振国'), ('珠海渔女', '大春')]|于笑|无|笑笑|无
于紫菲|[]|于紫菲|无|无|无
于荣光|[('公路美人', '老于'), ('警察故事2013', '特警队长'), ('校车', '林暮阳'), ('叶问', '于风九'), ('大武生', '岳江天'), ('功夫梦', '李师傅'), ('大兵小将', '副将豫'), ('越光宝盒', '甘将军'), ('东风雨', '方阡陌'), ('花木兰', '花弧'), ('三国志之见龙卸甲', '韩德'), ('千年僵尸王', 'master jiang'), ('西域威龙', 'imperial guard'), ('双天至尊2', '未知'), ('冲锋队怒火街头', '教授'), ('东方快车', '阿豪'), ('古惑奇兵之兵行险着', '未知'), ('杀手三分半钟', '未知'), ('回家', '阿航'), ('给爸爸的信', '甫光'), ('空中小姐', '未知'), ('霹雳神鹰', '黄飞'), ('燃情狙击手', '高立'), ('慈禧秘密生活', '奕詝'), ('错体追击组合', '黑帮'), ('旺角的天空', '陆乘风'), ('爆炸令', '未知'), ('省港一号通缉犯', '沈子雄'), ('国产凌凌漆', '凌凌二'), ('正月十五之一生一世', 'ghost'), ('一线生机', '白sir'), ('少年黄飞鸿之铁马骝', '杨天淳'), ('东方不败风云再起', '顾长风'), ('超级计划', 'david chang (as yu rong guang)'), ('的士判官', '于启聪'), ('东瀛游侠', '林同善'), ('古今大战秦俑情', '白云飞'), ('联手警探', '黄涛'), ('代号美洲豹', '副队长'), ('血泪情仇', '秦东华'), ('阮氏三雄', '阮小二'), ('海市蜃楼', '唐庭轩'), ('木棉袈裟', '祁天远'), ('南京爱情', '陈默人'), ('铁血英雄路', '佐藤'), ('武神赵子龙', '赵安'), ('大玉儿传奇', '努尔哈赤'), ('抗倭英雄戚继光', '于大酋'), ('奋囧', '顾华军'), ('隋唐英雄5', '李治'), ('勇士之城', '余师长'), ('红高粱', '朱豪三'), ('舞乐传奇', '夏云仙'), ('娘要嫁人', '肖虎'), ('向着胜利前进', '老猎户'), ('叶问', '于凤九'), ('劝和小组', '成就'), ('木府风云', '木隆'), ('护国军魂传奇', '蔡锷'), ('辛亥革命', '蔡锷'), ('从将军到士兵', '王朝天'), ('精忠岳飞', '周侗'), ('牧马人', '陆天泽'), ('廉石传奇', '陆绩'), ('冰是睡着的水', '郭大伟'), ('风雨桃花镇', '齐龙'), ('铁面歌女', '陶大为'), ('孽缘', '二哥'), ('关中义事', '戴飞宇'), ('女神捕', '郑大人'), ('锄奸', '林振海'), ('震撼世界的七日', '安维民'), ('跤王', '赵兴'), ('三国', '关羽'), ('翡翠凤凰', '常敬斋'), ('天命姻缘', '孙少帅'), ('紧急链接', '袁坤'), ('侦探成旭之千年迷局', '成旭'), ('侦探成旭之龙城岁月', '成旭'), ('粉墨王侯', '马啸天'), ('狼毒花', '常发'), ('天使在线∕ai特警队', '江洋'), ('墓后追凶', '队长'), ('金茂祥', '白彪'), ('穿越围城', '潘兵'), ('风尘三侠之红拂女', '虬髯客'), ('天和局', '刘永福'), ('冰山上的来客', '马占江'), ('上海滩之侠医传奇', '丁力'), ('有泪尽情流', '徐临风'), ('中国刑警之九月风暴', '赵忠实'), ('闪∕黑眼睛', '公安局长'), ('金剑雕翎', '司马风'), ('萍踪侠影', '冥王'), ('生死柬', '冯路'), ('真情玫瑰', '申杰'), ('一江春水', '张世保'), ('精武英雄陈真', '席飞扬'), ('爸爸叫红旗', '边红旗'), ('陆小凤之凤舞九天', '宫九'), ('关汉卿传奇', '关汉卿'), ('钱王', '巴力'), ('中华英豪', '北霸天'), ('堆积情感', '律师'), ('策马啸西风', '西门吹雪'), ('大宅门', '白化'), ('英雄广东十虎', '叶飞'), ('蓝色妖姬', '东方鸿飞'), ('镜花缘传奇', '纣王'), ('至高荣誉', '李克'), ('双天至尊Ⅱ', '庄伟成')]|于荣光|ringo yu|无|无
